"id_song","name_song","count_p","author","id_folder","one_voice","actual","note","views"
"153","Zwycięzca Śmierci (2 zwr.)","49","Chlondowski A./Szulik M.R.","27","0","0",,"135"
"154","Oto są baranki młode","41","Szczepański A.","9","0","0",,"65"
"155","Uczcijmy Zmartwychwstałego","49","Szulik M.R.","9","0","0",,"111"
"156","Oto są Baranki","62","Szulik M.R.","9","0","0",,"48"
"157","Regina coeli","52","Lotti A.","9","0","0",,"78"
"161","Surrexit a mortius","59","Widor Ch.M.","14","0","0",,"74"
"162","Zeszyty Wielkanoc","43"," - ","30","0","0",NULL,"72"
"163","Zeszyty Wielkanoc","31"," - ","31","0","0",NULL,"81"
"164","Pieśni wielkopostne","2"," - ","32","0","0",,"76"
"166","Improperia","22","Szulik M.R.","34","0","0",,"237"
"167","Improperia","30","Szulik M.R.","34","0","0",,"76"
"169","Lament Matki Boskiej","67","Hoffman A.","36","0","0",,"70"
"171","Dzieci Hebrajskie","55","Hoffman A.","36","0","0",,"91"
"172","Hołd Tobie","50","Hoffman A.","36","0","0",,"76"
"173","Chwała Tobie Królu wieków","94","Hoffman A.","36","0","0",,"128"
"174","Na skrzyrzowaniu Świata dróg","65","Hoffman A.","36","0","0",,"75"
"175","Antyfona na środę popielcową","51","Szulik M.R.","36","0","0",,"74"
"177","Miłość czyńcie i pokutę","24","Szulik M.R.","36","0","0",,"67"
"178","Pasja wg św. Mateusza cała","40","Hoffman A.","37","0","0",,"322"
"179","Stabat Mater","59","Kodaly Z.","38","0","0",,"74"
"180","Parce domine","43","Feliks Nowowiejski","38","0","0",NULL,"81"
"181","O wy wszyscy","63","G. Croce","38","0","0","mid w O vos omnes","71"
"182","O vos omnes","66","Croce G.","38","0","0",,"94"
"183","O Głowo uwieńczona","73","Bach J.S.","38","0","0",,"99"
"184","Miserere","45","Lotti A.","38","0","0",,"290"
"185","Locus iste","41","Bruckner A.","11","0","0",,"96"
"186","Płaczcie anieli","30","Hoffman A.","5","0","0",,"82"
