"id_news","header","text","date_news","autor"
"56"," 2022.12.24 Narodzenie Pańskie Msza w nocy","wj.: Wśród nocnej ciszy J. Maklakiewicz
all.: C. Mawby
d.: Jasna Panna J. Maklakiewicz
k.: Anioł pasterzom mówił
u.: Adeste fideles D. Willcock
z.: Bóg się rodzi M. Szulik","2022-12-06 13:14:19","Michał Szulik"
"57","2023.01.08 Niedziela Chrztu Pańskiego A","wj.: Wśród nocnej ciszy J. Maklakiewicz, zwr.: 1-3
all.: Mawby
d.: Jasna Panna J. Maklakiewicz
k.: O gwiazdo betlejemska
u.: Adeste fideles D. Willcock , zwr.: 1,3,4
z.: Bóg się rodzi M. Szulik, zwr.: 1,5","2023-01-07 16:30:37","Michał Szulik"
"58","2023.01.08 Koncert z okazji 100. rocznicy urodzin ś.p. ks. Alfreda Hofmanna","Kolędy w opracowaniu ks. A. Hoffmana
1. Anioł pasterzom
2. Dziecię się nam narodziło
3. Pasterze mili
4. Na Boże Narodzenie
5. My też pastuszkowie
6. Bóg zawitał w ludzkim ciele","2023-01-07 16:34:31","Michał Szulik"
"62","2023.01.29 IV Niedziela zwykła","wj.: Jezu miłości Twej M.Szulik
all.: A. Hoffman
d.: Ubi caritas J. Palmer
k.: Błogosławieni, którzy zostali wezwani
u.: O sacrum convivium G. Molfino
z.: Cóż Ci Jezu damy A. Hoffman","2023-01-17 12:01:27","Michał Szulik"
"64","2023.02.12 VI Niedziela Zwykła","wj.:  Chrystus, Chrystus to nadzieja opr. M. Szulik
all.: A. Hoffman
d.: Tyś w wieczerniku opr. A. Hoffman
k.: Ojciec nam powierzył Słowo
u.: Laudate Nomen Domini Ch. Tye
z.: Byś blizej Ciebie chcę opr. M. Szulik","2023-01-31 09:52:41","Michał Szulik"
"65"," 05.03.2023 II Niedziela Wielkiego Postu","w.: Pójdź do Jezusa
Chwała Tobie (A. Hoffman)
d.: Chrystus, Chrystus to nadzieja (M. Szulik)
k.: Panie pragnienia ludzkich serc
u.: Śpiewaj, śpiewaj sercem całym (G. Skop)
z.: Krzyżu święty (A. Hoffman)
","2023-03-03 09:09:51","Michał Szulik"
"66"," "," w.: Jezu miłości Twej (M. Szulik)
Chwała Tobie (A. Hoffman)
d: Nawróć się ludu w pokorze (M. Szulik)
k: O Panie, Ty nam dajesz
u: Anima Christi (M. Frisina)
Z: Stała Matka (A. Hoffman)
","2023-03-06 07:39:29","Michał Szulik"
"67"," 02.04.2023 Niedziela Palmowa czyli Męki Pańskiej"," rozpoczęcie liturgii: Hosanna Filio Dawid M. Szulik
procesja wejścia: Chrystus wodzem z psalmem opr. M. Szulik","2023-04-18 05:53:04","Michał Szulik"
"68"," 06.04.2023 Msza Wieczerzy Pańskiej","w.: Chwałą naszą jest krzyż (M. Szulik)
       W krzyżu cierpienie
przed Ewangelią: Chwała Tobie. Daję wam przykazanie (A. Hoffman/M. Szulik)
umycie nóg: Gdy Pan wstał od wieczerzy (M. Szulik)
d.: Gdzie miłość wzajemna
    Congregavit nos in unum (M. Szulik)
k.: Tyś w wieczerniku (opr. A. Hoffman)
     Panie dobry jak chleb
     O sacrum convivium (G. Molfino)
przeniesienie Najświętszego Sakramentu: Sław języku Tajemnicę (opr. M. Szulik)
     ","2023-04-18 06:04:50","Michał Szulik"
"69"," 07.04.2023 Liturgia Męki Pańskiej"," graduał: Christus factus est (F. Anerio)
Pasja wg św. Jana (M. Szulik)
Adoracja Krzyża: 
Krzyżu święty (A. Hoffman)
Jezu Chryste 
Crucem Tuam (M. Szulik)
Ludu mój ludu
Święty Boże
Stabat Mater (gregoriańskie)
Pozwól mi Twe męki (A. Nikodemowicz)
Ty, któryś gorzko (S. Wiechowicz) 
Zawitaj ukrzyżowany (A. Nikodemowicz)
Wisi na krzyżu
Stała Matka boleściwa (A. Hoffman)
k.: Witam Cię, witam
     Anima Christi (M. Frisina)
Procesja do grobu:	Odszedł Pasterz (opr. A. Zoła)
","2023-04-18 06:11:32","Michał Szulik"
"70"," 08.04.2023 Wigilia Paschalna","przed Ewangelią: Alleluja (G. F. Handel) 
pokropienie wodą święconą: Chrystus Pan zmartwychwstał (St. Wiechowicz)
d.: Alleluja, o filii et filie (C.V. Stanford) 
k.: Otrzyjcie już łzy
    Zwycięzca śmierci (Chlondowski)
z.: Regina coeli (M. Szulik)
","2023-04-18 06:14:01","Michał Szulik"
"71"," 23.04.2023 III Niedziela Wielkanocna","w.: Zwycięzca śmierci (A. Chlondowski/M. Szulik)
all.: C. Mawby
d.: Chrystus Pan zmartwychwstał (St. Wiechowicz)
k.: Wesoły nam dzień dziś nastał
u.: Misericordias Domnini (J. Botor)
z.: Regina coeli (M. Szulik)","2023-04-18 06:19:35","Michał Szulik"
"72"," 07.05.2023 V Niedziela Wielkanocna"," w.: Wesoły nam dzień (A.Chlondowski/M.Szulik)
all.: Kanon 
d.: Alleluja. Żyje Pan (A. Chlondowski/M.Szulik)
k.: Chrystus zmartwychwstan jest
u.: Panis Angelicus (C. Franck)
z.: Maryjo, ja Twe dziecię (A. Chlondowski)","2023-05-05 09:55:08","Michał Szulik"
"73","13.05.2023 Ślub Jolanty i Pawła Dobrowolskich "," w.: Alleluja, żyje Pan (A.Chlondowski/M.Szulik)
all.: Kanon
d.: Niech Pan Cię błogosławi (J. Rutter)
k.: Panie, pragnienia ludzkich serc
u.: Panic angelicus (C. Franck)
z. Maryjo, ja Twe dziecie (A. Chlondowski)","2023-05-16 12:13:23","Michał Szulik"
"74"," 28.05.2023 Uroczystość Zesłania Ducha Świętego"," w.: Pamiątkę dnia świątecznego (A.Chlondowski/M.Szulik)
Sekwencja Przybądź Duchu Święty (R.Atroszczak/M./Szulik)
all.: C. Mawby
d.: Veni Sancte Spiritus (P. Hurford)
k.: Alleluja, żyje Pan
u.: Jubilate Deo (C.Mawby)
z.: Regina doeli (M. Szulik)
","2023-05-16 12:23:08","Michał Szulik"
"75"," 08.06.2023 Uroczystość najświętszego Ciała i Krwi Pańskiej","w.: Kłaniam się Tobie (R.Atroszczak/M./Szulik) 
all.: Z Bazyliki
d.: Docti sacris (F. Mendelssohn-Bartholdy)
k.: Panie dobry jak chleb
   
Przy pierwszym ołtarzu: O sacrum convivum Mancini","2023-05-30 14:42:46","Michał Szulik"
"76"," 10.09.2023 XXIII Niedziela Zwykła"," w.: Boże w dobroci (M. Szulik)
all.: Kwiatkowski
d.: Ubi caritas (N. Palmer)
k.: Panie, pragnienia ludzkich serc
u.: Misericordias Domini (M. Botor)
z.: Maryjo, ja Twe dziecię (A. Chlondowski)","2023-09-08 15:33:27","Michał Szulik"
"77"," 24.09.2023 XXV Niedziela Zwykła"," w.: Chrystus, Chrystus (opr. M. Szulik)
all.: Kanon G
d.: Boże mocny, Boże cudów
k.: Jeden chleb
u.: Nową pieśń (S. Wesley)
z.: Być bliżej Ciebie chcę (opr. M. Szulik)","2023-09-11 18:44:00","Michał Szulik"
"79","Niedziela Zesłania Ducha Świętego 5.06.2022","""Przybądź, Duchu Święty,
Ześlij z nieba wzięty
Światła Twego strumień.""","2023-09-12 20:47:21","Władysław  Sak "
"80","Wspaniałe warsztaty","Wczoraj mieliśmy okazję pracować nad brzmieniem z panią Joanną Łukaszewską. Dziękujemy za wspaniałe warsztaty i poświęcony czas!","2023-09-12 20:52:11","Władysław  Sak "
"81","Dokładnie 2 lata temu","ks. bp. Grzegorz Suchodolski przyjął świecenia biskupie w Siedleckiej katedrze!

Życzymy Księdzu Biskupowi wielu łask Bożych oraz otwarcia na dary i natchnienia Ducha Świętego, a także opieki Najświętszej Maryi Panny.

Z okazji dzisiejszego Święta wspominamy utwór skomponowany przez ks. Michała R. Szulika - Jesum Christum Praedicare.

https://youtu.be/oFyg3eKcUuo","2023-09-12 20:54:49","Władysław  Sak "
"82","Uroczystość Najświętszego Ciała i Krwi Chrystusa","16 czerwca braliśmy udział w Uroczystości Najświętszego Ciała i Krwi Chrystusa. Śpiewaliśmy przy ostatnim Ołtarzu oraz na Mszy Świętej podczas której podziękowaliśmy za cały rok naszej działalności w chórze.
Teraz czas na zasłużony odpoczynek.
Do zobaczenia we wrześniu!","2023-09-12 21:02:58","Władysław  Sak "
"83","Wieczny odpoczynek racz mu dać Panie...","Dzisiaj mija 28. rocznica śmierci naszego Patrona.
Zapraszamy wszystkich na Mszę Świętą w intencji śp. ks. Alfreda Hoffmana - dzisiaj, godz. 18.00 w Katedrze siedleckiej.","2023-09-12 21:05:12","Władysław  Sak "
"84","Inauguracja kolejnego sezonu","W dzisiejszą Niedzielę zainaugurowaliśmy kolejny sezon naszej działalności. Mszę Św. o godz. 10:00 koncelebrował ks. Michał Szulik w intencji chórzystów i ich rodzin.
Po liturgii tradycyjnie udaliśmy się wszyscy na Cmentarz, aby przy grobie naszego Patrona - ks. Alfreda Hoffmana odmówić modlitwę różańcową.

Nieprzerwanie zapraszamy Wszystkich chętnych do wspólnego śpiewania - nasi dyrygenci ks. Michał Szulik oraz Izabela Kiryluk udzielą Wam wszelkich informacji i odpowiedzą na pytania :)

Dobrej niedzieli!","2023-09-12 21:10:25","Władysław  Sak "
"85","Pozdrawiamy Was weekendowo!","Wczoraj świętowaliśmy zaślubiny naszej chórzystki Moniki.
Cieszymy się, że mogliśmy być przy Was tego dnia!
Moniko i Pawle, jeszcze raz życzymy wszystkiego najlepszego na Nowej Drodze Życia!","2023-09-12 21:19:54","Władysław  Sak "
"86","Dzień Muzyki i Ducha: Wspólne Celebracje i Życzenia na Niedzielę","Wczoraj obchodzony był Międzynarodowy Dzień Muzyki. Dzisiaj my modliliśmy się na Mszy Świętej o godz. 10:00.
Życzymy Wam dobrej niedzieli,
a grzybiarzom obfitych zbiorów","2023-09-12 21:29:54","Władysław  Sak "
"87"," 8.10.2023 XXVII Niedziela Zwykła"," w.: Ku Tobie Panie (R.V. Williams)
all.: z bazyliki
d.: Bogu z Jego darów (opr. M. Szulik)
k.: Pan zstąpił z nieba
u.: Niebiosa głoszą (M. Frisina)
z.: Wskaż mi Panie (Ch. Wood)","2023-09-26 14:19:36","Michał Szulik"
"88","Poniedziałkowa Modlitwa: Razem z Społecznością Uniwersytetu w Siedlcach w Nowy Rok Akademicki","W poniedziałkowy wieczór wspólnie ze społecznością Uniwersytetu Przyrodniczo-Humanistycznego w Siedlcach modliliśmy się w intencjach Uczelni z okazji rozpoczynającego się kolejnego roku akademickiego Siedleckiej Alma Mater.","2023-10-02 15:43:48","Władysław  Sak "
"89","Jak minęła Wam dzisiejsza, piękna niedziela?","My rozpoczeliśmy dzień od Mszy Świętej o godz. 10.00.
W piątek był Dzień Nauczyciela - podziękowaliśmy naszym dyrygentom za ich pracę?
Kolejna msza z naszym udziałem 6. listopada.
Życzymy Wam dobrego tygodnia!","2023-10-02 15:50:03","Władysław  Sak "
"90","Pamięć za Patrona i Zmarłych Chórzystów","W dzisiejszą Niedzielę w oktawie Wszystkich Świętych modliliśmy się za naszego Patrona ks. Alfreda Hoffmana, zmarłych chórzystów oraz członków ich rodzin.","2023-10-02 15:53:53","Władysław  Sak "
"91"," Dzisiaj obchodziliśmy Uroczystość Chrystusa Króla.","Wśród dzisiejszych utworów wielokrotnie wybrzmiewało ""Chrystus Królem""!

Życzymy Wam Dobrego Tygodnia!

...a kibicom i naszym piłkarzom życzyczymy powodzenia podczas Mistrzostw Świata 2022 w Katarze!???","2023-10-02 15:56:20","Władysław  Sak "
"92","Głoszenie Chwały: Radość i Wytrwałość Chórzystów ??","Kochani chórzyści,
życzymy Wam niesłabnącej wytrwałości w głoszeniu chwały Pana Boga poprzez śpiew i poprzez wszystko, co jest treścią Waszego życia. Niech św. Cecylia sprawi, aby nasze posługiwanie w liturgii zbliżało ludzi do Boga. Św. Augustyn w komentarzu do Psalmu napisał: ""Otóż Bóg sam wskazuje ci niejako sposób śpiewania. Nie szukaj słów, jak gdybyś był w stanie wyrazić to, w czym Bóg znajduje upodobanie. Śpiewaj z okrzykami radości. Śpiewać pięknie Bogu, to znaczy śpiewać z radością"".
Niech towarzyszy nam na każdej próbie radość, że Bóg nas wybrał do głoszenia jego chwały!
Wasi dyrygenci Iza i ks. Michał.","2023-10-02 16:01:34","Władysław  Sak "
"93","Adwentowe Życzenia i Nadchodzące Śpiewy Mszalne! ?️?","W drugą Niedzielę Adwentu przesylamy serdeczne życzenia imieninowe Barbarom, a szczególnie naszej Basi z altów ;) dzisiaj także kolejny mecz naszej reprezentacji - trzymamy kciuki!
Nastepnym razem swoim śpiewem będziemy służyć podczas Uroczystej Mszy o północy 24 grudnia.
Dobrej niedzieli!","2023-10-02 16:05:15","Władysław  Sak "
"94"," 05.11.2023 XXX Niedziela Zwykła"," w.: Jezu miłości Twej (opr. M. Szulik)
all.; Mancini
d.: Supplices, Te rogamus (M. Frisina)
k.: Jezu, Jezu do mnie przyjdź
u.: Chrystus źródłem (J.S. Bach)
z.: Bóg nad swym ludem (opr. M. Szulik)
","2023-10-17 15:37:47","Michał Szulik"
"95"," 26.11.2023 Uroczystość Jezusa Chrystusa, Króla Wszechświata"," w.: Chrystus wodzem (opr. M. Szulik)
all.: Mawby
d.: Bóg nad swym ludem (opr. M.Szulik)
k.; Idzie, idzie Bóg prawdziwy
u.: Cóż Ci, Jezu damy (opr. A. Hoffman)
z.: O chryste (C. Mawby)","2023-11-07 15:52:46","Michał Szulik"
"96"," 2023.12.08 Uroczystość Niepokalanego Poczęcia Najświętszej Maryi Panny"," wj.: Matko Niebieskiego Pana (A. Chlondowski/M.Szulik)
all. z Bazyliki
d.: Zdrowaś bądź Maryja (H.M. Górecki)
k.: Bądźże pozdrowiona Hostio żywa
u.:
z.: Maryjo, ja Twe dziecię (A. Chlondowski)","2023-11-14 15:57:39","Michał Szulik"
"97","2023.11.22 Wspomnienie św. Cecylii","Drodzy Chórzyści. Niech Święta Cecylia, nasza patronka wyprasza u Boga łaskę świętości i wytrwałości w służbie liturgii. Przekazuję Wam także najlepsze życzenia od Biskupa Zbigniewa Kiernikowskiego i Biskupa 
Grzegorz Suchodolski 
Miło mi, że w tym dniu mogę podzielić się tą radosną nowiną, że nasza dyrygentka Izabela Kiryluk otrzymała wczoraj stopień doktora sztuki w dziedzinie sztuki muzyczne na podstawie dysertacji ""Łaciński repertuar na Boże Narodzenie"".  To wielki sukces Izy i wyróżnienia dla nas, że możemy mieć tak wspaniałą dyrygentkę!
Świętujcie dzisiejszy dzień!","2023-11-22 15:00:19","Michał Szulik"
"98"," 2023.12.24 Uroczystość Narodzenia Pańskiego Pasterka","Godzina czytań Uroczystości Narodzenia Pańskiego (opr. M. Szulik)
r.: Pan z nieba i z łona (opr. S. Stuligrosz)
wj.: Wśród nocnej ciszy (opr. J. Maklakiewicz)
all.: Z bazyliki
d.: Jasna Panna (J. Maklakiewicz)
k.: Dzisiaj w Betlejem
     Adeste fideles (opr. D. Willcock/ M. Szulik)
u.: Tryumfy Króla (opr. S. Stuligrosz)
z.: Bóg sie rodzi (opr. M. Szulik)
","2024-01-09 15:01:03","Michał Szulik"
